metric,label,value,n,category_name
context_persistence_index,Context Persistence Index,0.4285714285714286,10,handbag
guard_acceptance_rate,GHOST-Guard Acceptance Rate,0.3,10,handbag
guard_abstention_rate,GHOST-Guard Abstention Rate,0.4,10,handbag
prevented_ghost_claim_rate,Prevented Ghost Claim Rate,1.0,10,handbag
original_yes_rate,Original YES Rate,1.0,10,keyboard
crop_yes_rate,Crop YES Rate,0.9,10,keyboard
masked_yes_rate,Masked YES Rate,0.8,10,keyboard
ghost_object_rate,Ghost Object Rate,0.8,10,keyboard
context_persistence_index,Context Persistence Index,0.8,10,keyboard
guard_acceptance_rate,GHOST-Guard Acceptance Rate,0.2,10,keyboard
guard_abstention_rate,GHOST-Guard Abstention Rate,0.8,10,keyboard
prevented_ghost_claim_rate,Prevented Ghost Claim Rate,1.0,10,keyboard
original_yes_rate,Original YES Rate,1.0,10,laptop
crop_yes_rate,Crop YES Rate,0.9,10,laptop
masked_yes_rate,Masked YES Rate,0.1,10,laptop
ghost_object_rate,Ghost Object Rate,0.1,10,laptop
context_persistence_index,Context Persistence Index,0.1,10,laptop
guard_acceptance_rate,GHOST-Guard Acceptance Rate,0.8,10,laptop
guard_abstention_rate,GHOST-Guard Abstention Rate,0.2,10,laptop
prevented_ghost_claim_rate,Prevented Ghost Claim Rate,1.0,10,laptop
original_yes_rate,Original YES Rate,0.9,10,skateboard
crop_yes_rate,Crop YES Rate,1.0,10,skateboard
masked_yes_rate,Masked YES Rate,0.1,10,skateboard
ghost_object_rate,Ghost Object Rate,0.1111111111111111,10,skateboard
context_persistence_index,Context Persistence Index,0.11111111111111112,10,skateboard
guard_acceptance_rate,GHOST-Guard Acceptance Rate,0.3,10,skateboard
guard_abstention_rate,GHOST-Guard Abstention Rate,0.6,10,skateboard
prevented_ghost_claim_rate,Prevented Ghost Claim Rate,1.0,10,skateboard
original_yes_rate,Original YES Rate,0.9,10,surfboard
crop_yes_rate,Crop YES Rate,0.8,10,surfboard
masked_yes_rate,Masked YES Rate,0.2,10,surfboard
ghost_object_rate,Ghost Object Rate,0.2222222222222222,10,surfboard
context_persistence_index,Context Persistence Index,0.22222222222222224,10,surfboard
guard_acceptance_rate,GHOST-Guard Acceptance Rate,0.1,10,surfboard
guard_abstention_rate,GHOST-Guard Abstention Rate,0.8,10,surfboard
prevented_ghost_claim_rate,Prevented Ghost Claim Rate,1.0,10,surfboard
original_yes_rate,Original YES Rate,1.0,10,tennis racket
crop_yes_rate,Crop YES Rate,1.0,10,tennis racket
masked_yes_rate,Masked YES Rate,0.4,10,tennis racket
ghost_object_rate,Ghost Object Rate,0.4,10,tennis racket
context_persistence_index,Context Persistence Index,0.4,10,tennis racket
guard_acceptance_rate,GHOST-Guard Acceptance Rate,0.2,10,tennis racket
guard_abstention_rate,GHOST-Guard Abstention Rate,0.8,10,tennis racket
prevented_ghost_claim_rate,Prevented Ghost Claim Rate,1.0,10,tennis racket
original_yes_rate,Original YES Rate,1.0,10,tie
crop_yes_rate,Crop YES Rate,1.0,10,tie
masked_yes_rate,Masked YES Rate,0.2,10,tie
ghost_object_rate,Ghost Object Rate,0.2,10,tie
context_persistence_index,Context Persistence Index,0.2,10,tie
guard_acceptance_rate,GHOST-Guard Acceptance Rate,0.5,10,tie
guard_abstention_rate,GHOST-Guard Abstention Rate,0.5,10,tie
prevented_ghost_claim_rate,Prevented Ghost Claim Rate,1.0,10,tie
original_yes_rate,Original YES Rate,1.0,10,umbrella
crop_yes_rate,Crop YES Rate,0.9,10,umbrella
masked_yes_rate,Masked YES Rate,0.5,10,umbrella
ghost_object_rate,Ghost Object Rate,0.5,10,umbrella
context_persistence_index,Context Persistence Index,0.5,10,umbrella
guard_acceptance_rate,GHOST-Guard Acceptance Rate,0.3,10,umbrella
guard_abstention_rate,GHOST-Guard Abstention Rate,0.7,10,umbrella
prevented_ghost_claim_rate,Prevented Ghost Claim Rate,1.0,10,umbrella
original_yes_rate,Original YES Rate,0.9,10,vase
crop_yes_rate,Crop YES Rate,0.7,10,vase
masked_yes_rate,Masked YES Rate,0.5,10,vase
ghost_object_rate,Ghost Object Rate,0.5555555555555556,10,vase
context_persistence_index,Context Persistence Index,0.5555555555555556,10,vase
guard_acceptance_rate,GHOST-Guard Acceptance Rate,0.2,10,vase
guard_abstention_rate,GHOST-Guard Abstention Rate,0.7,10,vase
prevented_ghost_claim_rate,Prevented Ghost Claim Rate,1.0,10,vase
original_yes_rate,Original YES Rate,1.0,10,wine glass
crop_yes_rate,Crop YES Rate,1.0,10,wine glass
masked_yes_rate,Masked YES Rate,1.0,10,wine glass
ghost_object_rate,Ghost Object Rate,1.0,10,wine glass
context_persistence_index,Context Persistence Index,1.0,10,wine glass
guard_acceptance_rate,GHOST-Guard Acceptance Rate,0.0,10,wine glass
guard_abstention_rate,GHOST-Guard Abstention Rate,1.0,10,wine glass
prevented_ghost_claim_rate,Prevented Ghost Claim Rate,1.0,10,wine glass
