sample_id,category_name,original_answer,crop_answer,masked_answer,ghost_flag,evidence_supported,final_answer,risk,guard_accept,guard_abstain
wine_glass_25394_661323,wine glass,YES,YES,YES,True,True,UNSURE,high_context_hallucination,False,True
wine_glass_331817_666044,wine glass,YES,NO,YES,True,False,UNSURE,high_context_hallucination,False,True
wine_glass_417632_663280,wine glass,YES,YES,YES,True,True,UNSURE,high_context_hallucination,False,True
wine_glass_513041_1497370,wine glass,YES,YES,YES,True,True,UNSURE,high_context_hallucination,False,True
wine_glass_541773_667284,wine glass,YES,YES,YES,True,True,UNSURE,high_context_hallucination,False,True
wine_glass_336053_661055,wine glass,YES,YES,YES,True,True,UNSURE,high_context_hallucination,False,True
laptop_89648_1098172,laptop,YES,YES,NO,False,True,YES,low,True,False
laptop_497599_1100722,laptop,YES,YES,NO,False,True,YES,low,True,False
laptop_134112_1097652,laptop,YES,YES,NO,False,True,YES,low,True,False
laptop_435003_1100109,laptop,YES,YES,NO,False,True,YES,low,True,False
laptop_80949_1098811,laptop,YES,YES,NO,False,True,YES,low,True,False
laptop_529148_1102424,laptop,YES,YES,YES,True,True,UNSURE,high_context_hallucination,False,True
laptop_342367_2134595,laptop,YES,YES,NO,False,True,YES,low,True,False
laptop_112798_1100364,laptop,YES,YES,NO,False,True,YES,low,True,False
laptop_553664_1101465,laptop,YES,YES,NO,False,True,YES,low,True,False
laptop_287347_1971220,laptop,NO,YES,NO,False,True,NO,none,False,False
keyboard_181499_1116028,keyboard,YES,YES,NO,False,True,YES,low,True,False
keyboard_225757_1114694,keyboard,YES,YES,NO,False,True,YES,low,True,False
keyboard_246308_1115126,keyboard,YES,YES,YES,True,True,UNSURE,high_context_hallucination,False,True
keyboard_371677_1115356,keyboard,YES,YES,YES,True,True,UNSURE,high_context_hallucination,False,True
keyboard_189820_1975515,keyboard,YES,YES,YES,True,True,UNSURE,high_context_hallucination,False,True
keyboard_127987_1114595,keyboard,YES,YES,NO,False,True,YES,low,True,False
keyboard_426241_1117332,keyboard,YES,YES,YES,True,True,UNSURE,high_context_hallucination,False,True
keyboard_360951_1114587,keyboard,YES,YES,YES,True,True,UNSURE,high_context_hallucination,False,True
keyboard_195918_1116598,keyboard,YES,YES,NO,False,True,YES,low,True,False
keyboard_226171_1634397,keyboard,YES,YES,YES,True,True,UNSURE,high_context_hallucination,False,True
handbag_554002_1175897,handbag,YES,YES,NO,False,True,YES,low,True,False
handbag_115245_1837158,handbag,YES,YES,NO,False,True,YES,low,True,False
handbag_414510_1172995,handbag,YES,NO,NO,False,False,UNSURE,weak_visual_evidence,False,True
handbag_474293_1430604,handbag,YES,NO,NO,False,False,UNSURE,weak_visual_evidence,False,True
handbag_190923_1173865,handbag,YES,YES,NO,False,True,YES,low,True,False
handbag_380913_1175799,handbag,YES,YES,YES,True,True,UNSURE,high_context_hallucination,False,True
handbag_70254_1178097,handbag,YES,YES,YES,True,True,UNSURE,high_context_hallucination,False,True
handbag_496854_1437646,handbag,YES,YES,NO,False,True,YES,low,True,False
handbag_520832_1177004,handbag,YES,YES,NO,False,True,YES,low,True,False
handbag_153529_1179960,handbag,YES,YES,NO,False,True,YES,low,True,False
tie_8532_295311,tie,YES,YES,NO,False,True,YES,low,True,False
tie_287527_294950,tie,YES,YES,NO,False,True,YES,low,True,False
tie_450075_293642,tie,YES,YES,NO,False,True,YES,low,True,False
tie_151657_295651,tie,YES,YES,NO,False,True,YES,low,True,False
tie_20333_295083,tie,YES,YES,NO,False,True,YES,low,True,False
tie_166768_293878,tie,YES,YES,NO,False,True,YES,low,True,False
tie_18770_295246,tie,YES,YES,YES,True,True,UNSURE,high_context_hallucination,False,True
tie_100428_293635,tie,YES,NO,YES,True,False,UNSURE,high_context_hallucination,False,True
tie_460683_298904,tie,YES,YES,NO,False,True,YES,low,True,False
tie_92416_293082,tie,YES,YES,NO,False,True,YES,low,True,False
backpack_370478_1164368,backpack,YES,YES,NO,False,True,YES,low,True,False
backpack_286458_1171580,backpack,YES,YES,NO,False,True,YES,low,True,False
backpack_280710_1169208,backpack,YES,YES,NO,False,True,YES,low,True,False
backpack_415727_1165173,backpack,YES,YES,YES,True,True,UNSURE,high_context_hallucination,False,True
backpack_52996_1415438,backpack,NO,YES,NO,False,True,NO,none,False,False
backpack_253835_1166713,backpack,YES,YES,YES,True,True,UNSURE,high_context_hallucination,False,True
backpack_291791_1169272,backpack,YES,YES,NO,False,True,YES,low,True,False
backpack_230993_1171589,backpack,NO,YES,NO,False,True,NO,none,False,False
backpack_55150_1828119,backpack,YES,YES,YES,True,True,UNSURE,high_context_hallucination,False,True
backpack_568981_1163956,backpack,NO,NO,NO,False,False,NO,none,False,False
umbrella_137246_279413,umbrella,YES,YES,YES,True,True,UNSURE,high_context_hallucination,False,True
umbrella_132544_282492,umbrella,YES,YES,NO,False,True,YES,low,True,False
umbrella_238410_1829416,umbrella,YES,YES,NO,False,True,YES,low,True,False
umbrella_16228_1425221,umbrella,YES,YES,YES,True,True,UNSURE,high_context_hallucination,False,True
umbrella_500211_1425751,umbrella,YES,YES,YES,True,True,UNSURE,high_context_hallucination,False,True
umbrella_530854_284596,umbrella,YES,YES,YES,True,True,UNSURE,high_context_hallucination,False,True
umbrella_289741_285880,umbrella,YES,YES,YES,True,True,UNSURE,high_context_hallucination,False,True
umbrella_179174_1830214,umbrella,NO,YES,NO,False,True,NO,none,False,False
umbrella_163257_282290,umbrella,YES,YES,NO,False,True,YES,low,True,False
umbrella_222991_281667,umbrella,YES,YES,NO,False,True,YES,low,True,False
bottle_506310_86538,bottle,YES,YES,YES,True,True,UNSURE,high_context_hallucination,False,True
bottle_474167_78755,bottle,YES,YES,NO,False,True,YES,low,True,False
bottle_293625_1483987,bottle,YES,YES,NO,False,True,YES,low,True,False
bottle_108253_2096173,bottle,YES,YES,YES,True,True,UNSURE,high_context_hallucination,False,True
bottle_340697_2094250,bottle,YES,NO,YES,True,False,UNSURE,high_context_hallucination,False,True
bottle_287347_92761,bottle,YES,YES,YES,True,True,UNSURE,high_context_hallucination,False,True
bottle_422998_83028,bottle,YES,YES,YES,True,True,UNSURE,high_context_hallucination,False,True
bottle_554838_1867939,bottle,YES,YES,YES,True,True,UNSURE,high_context_hallucination,False,True
bottle_473869_1869187,bottle,YES,YES,YES,True,True,UNSURE,high_context_hallucination,False,True
bottle_132329_95919,bottle,YES,YES,YES,True,True,UNSURE,high_context_hallucination,False,True
cup_239627_673697,cup,YES,YES,YES,True,True,UNSURE,high_context_hallucination,False,True
cup_520871_670685,cup,YES,YES,YES,True,True,UNSURE,high_context_hallucination,False,True
cup_2431_681708,cup,YES,YES,YES,True,True,UNSURE,high_context_hallucination,False,True
cup_368752_681157,cup,YES,YES,NO,False,True,YES,low,True,False
cup_579655_2214995,cup,YES,NO,YES,True,False,UNSURE,high_context_hallucination,False,True
cup_535253_1505250,cup,YES,NO,YES,True,False,UNSURE,high_context_hallucination,False,True
cup_192904_682842,cup,YES,YES,YES,True,True,UNSURE,high_context_hallucination,False,True
cup_54605_1506712,cup,YES,YES,YES,True,True,UNSURE,high_context_hallucination,False,True
cup_277689_1880253,cup,YES,YES,YES,True,True,UNSURE,high_context_hallucination,False,True
cup_463283_1882094,cup,YES,YES,YES,True,True,UNSURE,high_context_hallucination,False,True
bowl_305609_710024,bowl,YES,YES,YES,True,True,UNSURE,high_context_hallucination,False,True
bowl_397681_711502,bowl,YES,YES,NO,False,True,YES,low,True,False
bowl_452084_710019,bowl,YES,YES,YES,True,True,UNSURE,high_context_hallucination,False,True
bowl_523100_716663,bowl,YES,YES,YES,True,True,UNSURE,high_context_hallucination,False,True
bowl_322163_1899216,bowl,YES,YES,NO,False,True,YES,low,True,False
bowl_331817_1535266,bowl,YES,YES,YES,True,True,UNSURE,high_context_hallucination,False,True
bowl_275198_718346,bowl,YES,YES,YES,True,True,UNSURE,high_context_hallucination,False,True
bowl_224807_1901186,bowl,YES,YES,YES,True,True,UNSURE,high_context_hallucination,False,True
bowl_221872_1902301,bowl,YES,YES,NO,False,True,YES,low,True,False
bowl_578871_1536402,bowl,YES,YES,YES,True,True,UNSURE,high_context_hallucination,False,True
chair_519569_2189842,chair,YES,YES,YES,True,True,UNSURE,high_context_hallucination,False,True
chair_277197_109975,chair,YES,YES,YES,True,True,UNSURE,high_context_hallucination,False,True
chair_383386_1931179,chair,YES,YES,YES,True,True,UNSURE,high_context_hallucination,False,True
chair_326248_376887,chair,YES,YES,YES,True,True,UNSURE,high_context_hallucination,False,True
chair_189213_1590733,chair,YES,YES,YES,True,True,UNSURE,high_context_hallucination,False,True
chair_196754_2124119,chair,YES,YES,NO,False,True,YES,low,True,False
chair_26465_375692,chair,YES,NO,NO,False,False,UNSURE,weak_visual_evidence,False,True
chair_366141_2124194,chair,NO,YES,NO,False,True,NO,none,False,False
chair_480122_385280,chair,YES,YES,YES,True,True,UNSURE,high_context_hallucination,False,True
chair_571718_1596959,chair,YES,YES,YES,True,True,UNSURE,high_context_hallucination,False,True
cell_phone_99428_326781,cell phone,YES,YES,NO,False,True,YES,low,True,False
cell_phone_194724_1638925,cell phone,YES,YES,NO,False,True,YES,low,True,False
cell_phone_26465_324735,cell phone,YES,YES,YES,True,True,UNSURE,high_context_hallucination,False,True
cell_phone_42528_328787,cell phone,YES,YES,NO,False,True,YES,low,True,False
cell_phone_343706_322768,cell phone,YES,YES,NO,False,True,YES,low,True,False
cell_phone_59598_321639,cell phone,YES,YES,NO,False,True,YES,low,True,False
cell_phone_396729_322835,cell phone,YES,YES,NO,False,True,YES,low,True,False
cell_phone_76416_325906,cell phone,YES,YES,NO,False,True,YES,low,True,False
cell_phone_326541_325236,cell phone,YES,YES,YES,True,True,UNSURE,high_context_hallucination,False,True
cell_phone_146489_323423,cell phone,NO,NO,NO,False,False,NO,none,False,False
book_507575_1140358,book,YES,YES,YES,True,True,UNSURE,high_context_hallucination,False,True
book_58111_1149796,book,YES,NO,NO,False,False,UNSURE,weak_visual_evidence,False,True
book_25603_1144688,book,YES,YES,NO,False,True,YES,low,True,False
book_183049_1655182,book,YES,YES,YES,True,True,UNSURE,high_context_hallucination,False,True
book_520077_1144329,book,YES,YES,YES,True,True,UNSURE,high_context_hallucination,False,True
book_326970_1141750,book,YES,YES,YES,True,True,UNSURE,high_context_hallucination,False,True
book_476810_1147902,book,YES,YES,YES,True,True,UNSURE,high_context_hallucination,False,True
book_147415_1988032,book,YES,YES,YES,True,True,UNSURE,high_context_hallucination,False,True
book_96001_1137334,book,YES,YES,NO,False,True,YES,low,True,False
book_367569_1144185,book,YES,YES,NO,False,True,YES,low,True,False
clock_217425_340871,clock,YES,YES,NO,False,True,YES,low,True,False
clock_409542_339051,clock,YES,YES,YES,True,True,UNSURE,high_context_hallucination,False,True
clock_343149_336308,clock,YES,YES,NO,False,True,YES,low,True,False
clock_60363_337109,clock,YES,YES,NO,False,True,YES,low,True,False
clock_140929_338838,clock,YES,YES,NO,False,True,YES,low,True,False
clock_427055_336539,clock,YES,YES,NO,False,True,YES,low,True,False
clock_344614_333922,clock,YES,YES,YES,True,True,UNSURE,high_context_hallucination,False,True
clock_565989_333986,clock,YES,YES,NO,False,True,YES,low,True,False
clock_304396_335489,clock,YES,YES,YES,True,True,UNSURE,high_context_hallucination,False,True
clock_154339_1664180,clock,YES,YES,YES,True,True,UNSURE,high_context_hallucination,False,True
vase_521509_1669434,vase,YES,YES,YES,True,True,UNSURE,high_context_hallucination,False,True
vase_111951_1668834,vase,YES,YES,YES,True,True,UNSURE,high_context_hallucination,False,True
vase_370042_1156815,vase,YES,YES,YES,True,True,UNSURE,high_context_hallucination,False,True
vase_512194_1157219,vase,YES,YES,NO,False,True,YES,low,True,False
vase_429530_1994424,vase,YES,YES,YES,True,True,UNSURE,high_context_hallucination,False,True
vase_557916_1669044,vase,YES,YES,NO,False,True,YES,low,True,False
vase_97585_1992818,vase,YES,YES,YES,True,True,UNSURE,high_context_hallucination,False,True
vase_421923_1153529,vase,YES,YES,NO,False,True,YES,low,True,False
vase_161397_1154965,vase,YES,YES,YES,True,True,UNSURE,high_context_hallucination,False,True
vase_473869_1151302,vase,YES,YES,NO,False,True,YES,low,True,False
